Year,Month,Date,Label,Top Level,Category 1,Category 2,Type,Value
2017,11,2017-11-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,598
2017,12,2017-12-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,532
2017,1,2017-01-01,Pentanes Plus,Pentanes Plus,Imports,,flow,434926.5
2017,2,2017-02-01,Pentanes Plus,Pentanes Plus,Imports,,flow,277480.4
2017,3,2017-03-01,Pentanes Plus,Pentanes Plus,Imports,,flow,429894.7
2017,4,2017-04-01,Pentanes Plus,Pentanes Plus,Imports,,flow,481569.1
2017,5,2017-05-01,Pentanes Plus,Pentanes Plus,Imports,,flow,451035
2017,6,2017-06-01,Pentanes Plus,Pentanes Plus,Imports,,flow,431992.3
2017,7,2017-07-01,Pentanes Plus,Pentanes Plus,Imports,,flow,452457.5
2017,8,2017-08-01,Pentanes Plus,Pentanes Plus,Imports,,flow,442391.6
2017,9,2017-09-01,Pentanes Plus,Pentanes Plus,Imports,,flow,324925.8
2017,10,2017-10-01,Pentanes Plus,Pentanes Plus,Imports,,flow,433712.6
2017,11,2017-11-01,Pentanes Plus,Pentanes Plus,Imports,,flow,423050.8
